buoy,month,air_temperature,barometric_pressure,wind_gust,wind_speed,wind_direction,visibility,wind_direction_u,wind_direction_v
I01,2001-07-01,12.864197325892857,NA,3.3705,2.58575,245.34990179464285,2685.401921607143,-0.6227978895252618,-0.24901904435811983
I01,2001-08-01,14.137830858117326,NA,4.107481582537517,3.096442019099591,184.27730000126877,1993.4791110368349,-0.21542774169972287,-0.2632917563513364
I01,2001-09-01,12.865925314325452,NA,5.014258692628651,3.8530278164116827,196.8349109611961,2399.990827802503,-0.147831901208052,-0.18557865333361703
I01,2001-10-01,10.558412392732167,NA,7.858880215343203,6.016200538358008,212.5996688154778,2588.7178574697173,-0.3447776012699277,-0.19901876004851676
I01,2001-11-01,7.341571716300417,NA,9.382917941585536,7.167322670375522,217.38282886397775,2773.5386635605005,-0.3098961373761475,-0.022737709976464793
I01,2001-12-01,4.280696366215054,NA,10.252956989247313,7.726983870967742,227.81248244623657,2691.887578454301,-0.3773230079602061,0.12414667721515837
I01,2002-01-01,1.359251775655914,NA,10.730424731182795,7.894135752688172,218.88075924758064,2780.1006303763443,-0.39087185446826345,0.17574482300078229
I01,2002-02-01,0.29625155275357146,NA,11.556255952380953,8.370559523809524,208.67871574497025,2655.8705244940475,-0.2342576852737705,0.06324710923400778
I01,2002-03-01,1.710675800525269,NA,9.867467741935483,7.252438172043011,205.78115979139784,2580.4766052419354,-0.20899640447024442,-0.007756198866716262
I01,2002-04-01,4.491731477972222,NA,8.309625,6.2238694444444445,197.90265693097223,2582.134845277778,-0.16083342857746677,-0.05612885202808497
I01,2002-05-01,7.554065913844086,NA,7.342502688172043,5.567774193548387,210.5620188172043,2378.2592687903225,-0.32578688729677074,-0.27109982037037017
I01,2002-06-01,10.369764870138889,NA,5.407497222222222,4.089979166666667,198.09621805555557,2358.7086624722224,-0.1985328819746429,-0.1798205506246156
I01,2002-07-01,13.433702238387978,NA,4.3956803278688525,3.421726775956284,195.36699453551913,2247.780845887978,-0.22594665107623887,-0.2557560486755235
I01,2002-08-01,14.833387511424732,NA,3.7953897849462366,2.9864932795698924,189.42568279569892,2285.4023806451614,-0.22251247447358732,-0.20773034441642854
I01,2002-09-01,14.1402510125,NA,5.3579625,4.4764875,194.84255007419443,2563.1983764444444,-0.21560217137843493,-0.14080113182485865
I01,2002-10-01,9.60617506742934,NA,8.595289367429341,7.0351090174966355,204.17286019448184,2742.9906785598923,-0.07404637008217323,0.2032409488384707
I01,2002-11-01,5.436658114804589,NA,10.863845403899722,8.750428969359332,200.59612116991644,2534.2464778382146,-0.25404004117695134,0.16654946685411043
I01,2002-12-01,1.1831677894877688,NA,2.414135752688172,1.8142540322580645,323.15689112903226,2685.706083387097,-0.3637997099672857,0.829705808094963
I01,2003-01-01,-4.136106256451681,NA,4.255408963585434,3.3143333333333334,295.4671456582633,2625.5157290196353,-0.36248572000996476,0.654451248078446
I01,2003-02-01,-2.957848447748889,NA,9.355018803418803,7.552376068376068,219.2306717948718,2470.5870420274914,-0.2878962205693747,0.29908224210602835
I01,2003-03-01,0.12311703309078213,NA,6.468372905027933,5.112540502793296,223.69718994413407,2578.091377847765,-0.34714351256642895,0.029772458430926556
I01,2003-04-01,2.4363913272666666,NA,1.4271680555555555,1.1003291666666666,244.7704625,2625.6793069166665,-0.17391766187603933,0.43735100724924175
I01,2003-05-01,6.138206989247312,NA,4.631198924731183,3.821221322537112,167.738995951417,2451.723860465587,-0.034735533030854054,-0.030228393461520724
I01,2003-06-01,10.092940277777778,NA,4.590905555555556,3.7549833333333336,184.4312361111111,2214.973613947222,-0.1402969823037267,-0.20789822957710363
I01,2003-07-01,12.755054054054055,NA,4.043331081081081,3.358624324324324,196.8380027027027,1550.1732186527026,-0.25837785401818497,-0.5221277573534804
I01,2003-08-01,14.035900537634408,NA,3.8174637096774195,3.1965376344086023,199.00885349462365,1696.1815783387096,-0.21209443065397307,-0.32671102758826054
I01,2003-09-01,13.270181311018131,NA,3.9460055788005577,3.27944769874477,179.50690655509067,2314.5780146471407,-0.06800815384876176,-0.21944212770678007
I01,2003-10-01,10.343119777158774,NA,7.92507938718663,6.424544568245126,210.32792896935933,2663.774998412256,-0.31889728737476863,-0.0882164620833636
I01,2003-11-01,6.609573611111111,NA,9.06932638888889,7.310859722222222,189.87095555555555,2695.0000465416665,-0.13582158703168096,0.07531370746378666
I01,2003-12-01,2.132676985195155,NA,9.62585060565276,7.668020188425303,224.64660296096903,2523.49090820996,-0.19991005968406822,0.1799732477956897
I01,2004-01-01,-2.1147356828193833,NA,4.548828193832599,3.568162995594714,283.2022378854625,2762.1648127753306,-0.3494627112748275,0.6336001522986846
I01,2004-02-01,-1.725051724137931,NA,9.84042816091954,7.941064655172414,256.75346551724135,2702.2722260632186,-0.45899138113145405,0.34165958218617787
I01,2004-03-01,0.5467547169811321,NA,8.20222102425876,6.6434528301886795,179.38972237196765,2789.3152020485177,-0.09926467839227217,0.0032083649473958224
I01,2004-04-01,3.440986975397974,NA,6.995917510853835,5.743858176555716,192.1568075253256,2581.8334385094067,-0.1631471184934146,0.02251685390771127
I01,2004-05-01,6.36950940860215,NA,5.257393817204301,4.364728494623656,182.65869220430108,2127.277848763441,-0.10031584080145486,-0.24874268449396145
I01,2004-06-01,8.9709625,NA,4.627351388888889,3.868026388888889,189.1094486111111,2207.326630488889,-0.18578421253972244,-0.25915697852774977
I01,2004-07-01,11.10497311827957,NA,3.396970430107527,2.8058682795698924,166.66175806451614,1189.126280622312,0.07108545112395247,-0.19540607382276726
I01,2004-08-01,13.040524193548388,NA,4.246259408602151,3.5900416666666666,203.2034247311828,1846.1598200860215,-0.29704270542603883,-0.38972746284995463
I01,2004-09-01,12.351138888888888,NA,5.0833305555555555,4.268163888888889,199.35390416666667,2448.274898875,-0.22964808718190483,-0.018747632315289097
I01,2004-10-01,9.718102564102564,1015.1488648690292,7.0355425101214575,5.8194318488529015,175.84931309041835,2711.5681091767883,-0.0010177065540607816,0.12964916823615347
I01,2004-11-01,5.607380555555555,1016.9340784722223,9.751666666666667,7.908254166666667,211.2003125,2722.983254589708,-0.24886236604768963,0.19763512998746927
I01,2004-12-01,0.9911303763440861,1014.0979369086022,10.117485215053764,8.055584677419354,210.11361021505377,2643.5177204301076,-0.21266621967717877,0.17260009097948734
I01,2005-01-01,-3.7405067204301075,1018.4607018034993,9.267456989247313,7.248680107526882,208.1439690860215,2562.157453294751,-0.10271277013053211,0.4376598225591334
I01,2005-02-01,-1.2372559523809523,1016.7080219791667,9.931776785714286,7.763703869047619,176.6925967261905,2737.0133640416666,-0.01678320669977079,0.363198433018112
I01,2005-03-01,0.3644959677419355,1000.6204617741936,10.754693548387097,8.629939516129033,216.95356989247313,2675.330956827957,-0.33057061778099395,0.18447753557366453
I01,2005-04-01,4.7494375,1013.4369708333334,4.096204166666666,2.4952180555555556,222.35155,2512.049900847222,-0.1131756426630818,0.14941505446557882
I01,2005-05-01,6.181513513513513,1013.7882768783784,3.88997027027027,2.9228472972972974,202.4962351162162,2142.4492993513513,0.06596098591194678,0.4117831376873843
I01,2005-06-01,9.317518055555556,1014.4641539583333,4.8074111111111115,4.023144444444444,175.48616388888888,1810.0821901180555,-0.1229913984984747,-0.19085401381203693
I01,2005-07-01,12.331290322580646,1014.4336119086022,3.800319892473118,3.1604596774193547,195.1024005376344,1965.8433864435483,-0.24343894240285213,-0.2433464230979269
I01,2005-08-01,13.667567204301076,1015.4611073790322,3.6513293010752688,3.0630618279569894,197.48558602150538,2007.1354378924732,-0.16753013929404337,-0.37526958523979004
I01,2005-09-01,13.689790502793295,1016.4165980167597,5.220708100558659,4.32913687150838,217.41618156424582,2465.2129871648044,-0.37956439700324446,-0.20801133033629096
I01,2005-10-01,10.691528936742934,1014.5921883176312,8.53934858681023,6.932886944818304,178.38215746971736,2226.117383411844,-0.07894988007238338,0.15617573119534386
I01,2005-11-01,7.283452777777778,1015.5295103888889,9.110422222222223,7.3008291666666665,219.4675125,2590.874073791667,-0.3098862577240628,-0.14344842808630456
I01,2005-12-01,1.2607002688172042,1011.5743166666666,9.654694892473119,7.5771881720430105,242.11884274193548,2650.1702721370966,-0.4013342606463018,0.21731244094601643
I01,2006-01-01,1.7649529569892473,1012.7054360565276,9.459440860215054,7.595975806451613,197.87079838709678,2574.121651072678,-0.1843216576328155,0.15605200900777294
I01,2006-02-01,-1.5289011976047904,846.3292920124806,10.140049401197604,7.996821856287425,231.54924401197604,2681.3313326086954,-0.40638426993572635,0.13887670020429993
I01,2006-03-01,1.2371668909825033,1010.550563342318,7.833269179004038,6.322270524899058,235.56027088948787,2764.3635803099733,-0.43139822747038775,0.2563819883204556
I01,2006-04-01,5.54816106442577,1012.7645760504201,7.4175378151260505,6.054176470588235,185.76980392156864,2603.84619502521,-0.15178930802305454,0.06573982783948175
I01,2006-05-01,8.15712955465587,1012.3644160593792,6.408224021592443,5.33876383265857,154.4928987854251,2343.5243684210527,0.15245907609527076,-0.05993376108668332
I01,2006-06-01,10.855722222222223,1012.5832056944445,5.018784722222223,4.1784180555555555,166.51851527777777,1639.3996118055557,0.04588125235709689,-0.2790871800169796
I01,2006-07-01,14.064166666666667,1013.0925138172043,4.249047043010752,3.5020994623655914,204.0984005376344,1915.7341264247311,-0.3365897818863238,-0.4371285858668276
I01,2006-08-01,14.530524193548388,1013.6659686021505,4.15504435483871,3.438932795698925,222.89942069892473,2703.6014569313593,-0.3898664818009658,-0.10185196345673651
I01,2006-09-01,13.600845431255337,1014.3764233561059,4.904043552519214,4.048804440649018,209.33389740409905,2393.88991824082,-0.30863764782230846,-0.24129615001982965
I01,2006-10-01,10.746073924731183,1012.1574363281775,8.328006048387097,6.777346774193548,211.37232190860215,2663.1455578696236,-0.2288482464022744,-0.02535230366561122
I01,2006-11-01,8.443184722222222,1019.3437036414176,7.994420833333334,6.430022222222222,189.48207916666667,2518.4420757109106,-0.08795680188793924,0.04959242976907813
I01,2006-12-01,4.107734322319622,1017.3037226653172,9.905445718138907,7.871879973027647,257.5042521915037,2679.656849176788,-0.5568071104988679,0.15011199277256182
I01,2007-01-01,-0.9320013440860215,1013.1146519905851,10.28522311827957,8.078782930107527,228.72814180107528,2480.643432292535,-0.41366171675034913,0.2759176801572555
I01,2007-02-01,-3.725842537313433,1007.1638445780433,10.408991038088125,8.15275205377147,242.58952053771472,2785.2471520014947,-0.48013380627378477,0.3775387238240869
I01,2007-03-01,0.6835940860215054,1016.6002462340282,9.317877688172043,7.126483870967742,243.30124075319435,2548.4157576092803,-0.47590495384990866,0.030274607838275663
I01,2007-04-01,3.452858831710709,1011.1230341016714,4.539222531293463,2.645461752433936,180.12630132219903,2537.2805456058495,0.02551147720824658,0.13228447708430416
I01,2007-05-01,7.352045760808535,1016.9749635654127,4.451807692307693,3.6939149354295338,172.52099129702415,2525.270536479506,-0.028083778037550335,-0.06087624751312692
I01,2007-06-01,10.07257175925926,1011.783952449074,4.675487268518519,3.9506259259259258,185.93785208333333,2534.7040531722223,-0.18488225999933752,-0.004197047583877857
I01,2007-07-01,12.163313172043011,1012.7705963104838,3.71069914874552,3.1120125448028673,191.12098633512545,1718.6332003093637,-0.2101499841116977,-0.37548446149141446
I01,2007-08-01,13.656272401433691,1013.4108958176523,3.8875396505376343,3.2456482974910394,211.66298924731183,2324.3492714926074,-0.3009156549731899,-0.2692217967348151
I01,2007-09-01,12.972109792975111,1017.4808914468481,4.8679581297976275,4.063937427308677,206.71473086764365,2460.698372196092,-0.33033025256175763,-0.09182659643616599
I01,2007-10-01,10.918944668458781,1017.0806065412187,6.335703181003584,5.204420474910394,209.83385752688173,2568.3579440869175,-0.25125317971872835,-0.10280141982820547
I01,2007-11-01,5.491350694444445,1015.5361617569445,9.682527314814815,7.722640046296296,208.86310972222222,2694.179135536111,-0.26989910084125107,0.111789061211781
I01,2007-12-01,-0.14844892473118276,1017.5424630712365,10.276951836917563,8.094523521505376,204.05406339605736,2668.7179569469085,-0.17558604895823188,0.3105260862875931
I01,2008-01-01,-0.5292197580645162,1016.3095438552867,10.377679883512545,8.16538508064516,226.66163037634408,2705.303193152106,-0.3576116835174582,0.18830723749533315
I01,2008-02-01,-0.8712274042145594,1013.8140933979885,9.52752801724138,7.485784027777778,214.22208285440612,2715.495211144636,-0.22471057726416568,0.14543841076446554
I01,2008-03-01,0.5512521550179211,1015.0295792137097,9.794664650537634,7.845589157706093,216.31683355734768,2758.5234749395163,-0.2369401787888605,0.10589040608151332
I01,2008-04-01,4.998454014939309,1018.4485031022409,6.422111344537815,5.248048319327731,174.34889239028945,2772.2071963328667,-0.05304650214594651,-0.003130309741137887
I01,2008-05-01,7.666040770609319,1008.9214809363799,5.595516353046595,4.64364605734767,190.02119982078852,2790.7208436783153,-0.22680990697121797,-0.039379854501722066
I01,2008-06-01,10.547799305555555,1012.3155123472222,4.005752083333333,3.3613150462962964,171.08671041666668,1842.9258514414353,0.031135978020387825,-0.26201033457318373
I01,2008-07-01,13.57627688172043,1013.0907216890681,3.910274417562724,3.2514583333333333,196.3314375,1634.1208510831093,-0.2568607537879838,-0.5529262831554397
I01,2008-08-01,13.27391129032258,1012.0449445183692,3.7726825716845878,3.177717069892473,179.9169690860215,2037.8643352620488,-0.06874503902336361,0.03885162071095962
I01,2008-09-01,13.100956258724988,1018.7812719474174,5.074543973941368,4.211635644485807,188.36696510004654,2516.0190492740808,-0.14062509669768808,-0.11616392051438613
I01,2008-10-01,10.121493279569892,1017.5518768705197,7.661864695340502,6.275852374551971,201.9503210125448,2745.2445719444445,-0.22899334029849283,0.07120299096179418
I01,2008-11-01,5.912093565683646,1016.1046502761394,8.987205361930295,7.150847989276139,214.49321072386059,2613.2278326380697,-0.21699596599634574,0.0368666151371408
I01,2008-12-01,1.40875,1015.9676633736559,11.201584677419355,8.775638440860215,220.4379502688172,2716.75583265457,-0.3383511875136584,0.08970136775836368
I01,2009-01-01,-4.432632095734888,1014.27880165695,9.861598343050016,7.716987419453821,224.3707032832157,2713.1755333620745,-0.3707309133621723,0.33451125876786036
I01,2009-02-01,-1.1626904761904762,1012.3932971106151,9.849478422619047,8.006136656746031,237.43081274801588,2757.525941140873,-0.3968422894258747,0.2341573618514056
I01,2009-03-01,0.11084393324312136,1019.3639582386107,8.668049616599008,7.05476950834461,185.64999368516013,2743.441533933243,-0.20742802207897326,0.20858104001648198
