buoy,date,depth,temperature,salinity,sigma_t
N01,2004-06-01,50,3.7408021505376343,32.4755270875576,25.79255459139785
N01,2004-06-01,996921e31,8.862623732718895,34.803943402457755,26.98398102534562
N01,2004-07-01,50,5.903718817204301,32.865707127688175,25.838286481182795
N01,2004-07-01,996921e31,8.916208333333334,34.96042799462366,27.09826308467742
N01,2004-08-01,50,7.336850672043011,33.08786672715054,25.851477806451612
N01,2004-08-01,996921e31,8.688627083333333,34.95821534811828,27.133266065860216
N01,2004-09-01,50,6.8678125,32.66588821111111,25.57913554861111
N01,2004-09-01,996921e31,8.251943333333333,34.76868389027778,27.050479189583335
N01,2004-10-01,50,7.307912096774194,32.666263688172045,25.52468725
N01,2004-10-01,996921e31,8.213750537634409,34.66098933333333,26.972091838037635
N01,2004-11-01,50,7.689415277777778,32.51931948194444,25.363986047222223
N01,2004-11-01,996921e31,7.256029444444445,34.36548250208333,26.880501367361113
N01,2004-12-01,50,6.578545295698925,32.161435245967745,25.236381002688173
N01,2004-12-01,996921e31,7.847979301075269,34.46873945967742,26.876031688844087
N01,2005-01-01,50,5.0238903225806455,32.02745740725806,25.31396291935484
N01,2005-01-01,996921e31,7.970267607526882,34.405724941532256,26.809291079301076
N01,2005-02-01,50,4.8448738095238095,32.95585704166667,26.049237858630953
N01,2005-02-01,996921e31,9.35862462797619,34.62372436011905,26.752794860119046
N01,2005-03-01,50,3.7025595430107527,32.59686441935484,25.890923017473117
N01,2005-03-01,996921e31,9.313369690860215,34.80909147916667,26.91459065188172
N01,2005-04-01,50,3.8515484978540773,32.540287507868385,25.842963719599428
N01,2005-04-01,996921e31,8.694342560801145,34.62576544022906,26.868216098067286
N01,2005-05-01,50,4.1340537634408605,32.413620549731185,25.707445012096773
N01,2005-05-01,996921e31,9.548170430107527,34.873425178091395,26.924043592069893
N01,2005-06-01,50,6.504925833333333,33.08237540277778,25.959799347222223
N01,2005-06-01,996921e31,8.828699027777779,34.95507711597222,27.107222051388888
N01,2005-07-01,50,6.370298515519568,32.64125668151147,25.63102168151147
N01,2005-07-01,996921e31,8.705298650472335,35.02663832726046,27.181120541160595
N01,2005-08-01,50,8.525822849462365,33.06563766263441,25.65752323252688
N01,2005-08-01,996921e31,9.841927688172044,35.16560205107527,27.099773286290322
N01,2005-09-01,50,8.105754583333333,32.97728880416667,25.639111808333332
N01,2005-09-01,996921e31,9.987384583333334,35.07824494236111,27.009376883333335
N01,2005-10-01,50,8.769376858345021,32.70907751332398,25.346131227208975
N01,2005-10-01,996921e31,9.6136912342216,35.020965929873775,27.028485899719495
N01,2005-11-01,50,7.832531527777777,32.59972400555556,25.40695845
N01,2005-11-01,996921e31,9.128972708333333,34.80664826875,26.941199756944446
N01,2005-12-01,50,8.371581451612903,32.80445357258065,25.480629180107528
N01,2005-12-01,996921e31,9.249154099462366,34.9969377016129,27.07297559610215
N01,2006-01-01,50,6.828942741935484,32.651627569892476,25.586709001344087
N01,2006-01-01,996921e31,9.338768212365592,34.97357050672043,27.038910797715054
N01,2006-02-01,50,6.107078571428572,32.7949073125,25.787130069940478
N01,2006-02-01,996921e31,9.476607068452381,34.92510296577381,26.97762631324405
N01,2006-03-01,50,4.922476209677419,32.570008701612906,25.736199038978494
N01,2006-03-01,996921e31,10.050922580645162,35.04928704099462,26.979638397177418
N01,2006-04-01,50,5.835202777777778,32.868912334722225,25.874169243055555
N01,2006-04-01,996921e31,10.114878611111111,35.00925684236111,26.93525999375
N01,2006-05-01,50,6.139464919354839,32.684894002688175,25.685933990591398
N01,2006-05-01,996921e31,8.858855040322581,34.853510900537636,27.020026165994622
