buoy,date,depth,temperature,salinity,sigma_t
F01,2001-07-01,1,13.575359363478261,30.893855827826087,23.09449903130435
F01,2001-07-01,20,10.712571046875,31.43677898611111,24.05054234548611
F01,2001-07-01,50,9.65566958347826,31.58955747130435,24.34434109043478
F01,2001-08-01,1,14.67258779905914,31.339054565860216,23.217518532258065
F01,2001-08-01,20,12.139883787634409,31.746295096774194,24.036482508064516
F01,2001-08-01,50,11.19494089986559,31.897135771505376,24.324464262096775
F01,2001-09-01,1,14.038380922916666,31.672756777777778,23.608762230555556
F01,2001-09-01,20,12.85184486875,32.036117508333334,24.126910108333334
F01,2001-09-01,50,12.17296028888889,32.20033772083333,24.383467879166666
F01,2001-10-01,1,12.27376377016129,31.87251607123656,24.108542603494623
F01,2001-10-01,20,11.917505306451613,32.239260001344086,24.46071768010753
F01,2001-10-01,50,11.652938422043011,32.37746443413978,24.61686703091398
F01,2001-11-01,1,9.740045923611111,32.08063780972222,24.71300796111111
F01,2001-11-01,20,9.7125548,32.34899432777778,24.927330565277778
F01,2001-11-01,50,9.629564388194444,32.47135829166667,25.036575194444445
F01,2001-12-01,1,7.469319746639785,32.1666155188172,25.119018102150537
F01,2001-12-01,20,7.592500987365591,32.3619718077957,25.255943291666668
F01,2001-12-01,50,7.6567356518817205,32.53705812768817,25.385108525537635
F01,2002-01-01,1,4.381271181157469,32.28747640646029,25.58825433243607
F01,2002-01-01,20,4.458126146102151,32.34759002688172,25.628309856182796
F01,2002-01-01,50,4.652102847849462,32.54434452822581,25.765224875
F01,2002-02-01,1,2.8794282936011903,32.09156406696429,25.573255907738094
F01,2002-02-01,20,2.9569467129464284,32.24710845833334,25.691148120535715
F01,2002-02-01,50,3.2198580125,32.479919238095235,25.853953053571427
F01,2002-03-01,1,3.063868570698925,30.933638662634408,24.633374423387096
F01,2002-03-01,20,3.3159148865591397,31.866439482526882,25.357035684139785
F01,2002-03-01,50,3.5694598064516128,32.26581522311828,25.65240645564516
F01,2002-04-01,1,5.531826398472222,28.52012707638889,22.487606580555557
F01,2002-04-01,20,4.878638325277778,31.101989258333333,24.597787373611112
F01,2002-04-01,50,4.505001100972223,31.78676672638889,25.17996922777778
F01,2002-05-01,1,7.471765657258064,29.96367202419355,23.38741904704301
F01,2002-05-01,20,6.691102400403226,30.83298087096774,24.174206967741934
F01,2002-05-01,50,6.1552014864247315,31.41711006048387,24.701140068548387
F01,2002-06-01,1,10.622369377777778,30.46203293435754,23.302363453910615
F01,2002-06-01,20,9.347167528055556,31.073101627777778,23.988997693055556
F01,2002-06-01,50,8.289835600277778,31.62938663888889,24.5838395375
F01,2002-07-01,1,14.111087803763441,30.854392340053764,22.95535787231183
F01,2002-07-01,20,11.741748659274194,31.446804413978494,23.87630286424731
F01,2002-07-01,50,10.217059461693548,31.86181773252688,24.464587369623654
F01,2002-08-01,1,15.822437353494625,31.057230900537636,22.751718153225806
F01,2002-08-01,20,13.73027400269179,31.71194720995962,23.700682771197847
F01,2002-08-01,50,12.111466503360216,32.037749564516126,24.267511079301077
F01,2002-09-01,1,14.899363030555556,31.423329525,23.23693090277778
F01,2002-09-01,20,14.226083170138889,31.937901347222223,23.77575820138889
F01,2002-09-01,50,13.29176448125,32.26970604444445,24.221347120833332
F01,2002-10-01,1,12.806794204264099,32.084369662998625,24.16809170288858
F01,2002-10-01,20,12.698020713692946,32.343791452282154,24.391489550484096
F01,2002-10-01,50,12.487382732365145,32.569170791148,24.60771945919779
F01,2002-11-01,1,9.024993055555555,32.08607408611111,24.8252874125
F01,2002-11-01,20,9.299166666666666,32.46684290694444,25.085132394444443
F01,2002-11-01,50,9.380180555555556,32.667789327777776,25.230121170833332
F01,2002-12-01,1,5.478399723374827,31.920625071922544,25.174360904564317
F01,2002-12-01,20,5.861371191135734,32.358685554016624,25.4788831066482
F01,2002-12-01,50,6.058883656509695,32.593193199445984,25.64071657202216
F01,2003-01-01,1,2.606754904187675,32.08375161344538,25.582907228291315
F01,2003-01-01,20,2.936033557563025,32.386281784313724,25.79605499019608
F01,2003-01-01,50,3.186874132867133,32.58324318041958,25.930006752447554
F01,2003-02-01,1,0.38086559134014736,32.32984083539823,25.932435338053097
F01,2003-02-01,20,0.5062880646229827,32.40273053030303,25.983275875757577
F01,2003-02-01,50,0.8565608779033435,32.52926210030395,26.065839541033434
F01,2003-03-01,1,0.7086922870522828,31.97403826686217,25.62618540909091
F01,2003-03-01,20,0.6465263972765265,32.30948511804613,25.90102857394844
F01,2003-03-01,50,0.8529390663364993,32.43354134871099,25.98963843962008
F01,2003-04-01,1,3.158216581013889,28.51552096388889,22.692795558333334
F01,2003-04-01,20,2.389539830434783,31.80566220056101,25.38266070967742
F01,2003-04-01,50,2.2218624415147263,32.052328877980365,25.593311906030856
F01,2003-05-01,1,7.176387096774193,27.987321477732795,21.871143245614036
F01,2003-05-01,20,4.981433962264151,31.287332239512857,24.730450790257105
F01,2003-05-01,50,4.3390525606469,31.557802682002706,25.011265722598104
F01,2003-06-01,1,11.066177777777778,29.52575337777778,22.482320580555555
F01,2003-06-01,20,7.821564066852368,31.199725568245125,24.313287495118548
F01,2003-06-01,50,7.0498091922005575,31.416111079387186,24.5879766908078
F01,2003-07-01,1,13.21386271870794,30.51781817362046,22.876357126514133
F01,2003-07-01,20,9.99535666218035,31.448110851951547,24.178908258411845
F01,2003-07-01,50,9.06593539703903,31.677866528936743,24.50565500269179
F01,2003-08-01,1,14.821182795698924,30.557807942204303,22.578166365591397
F01,2003-08-01,20,11.667388963660834,31.693026033647374,24.082406082099595
