buoy,date,air_temperature,barometric_pressure,wind_gust,wind_speed,wind_direction,visibility,wind_direction_u,wind_direction_v
M01,2001-07-01,16.24583096603261,NA,NA,4.403739130434783,217.08122783752717,NA,-0.41383341537011964,-0.1785240885984928
M01,2001-08-01,17.261702817204302,NA,NA,4.396541666666667,194.07126970783602,NA,-0.24445006723994345,-0.3537265341227501
M01,2001-09-01,15.270023128472221,NA,NA,5.671777777777778,188.826613223125,NA,-0.14714136167080552,-0.153058010561636
M01,2001-10-01,11.240120481048388,NA,NA,6.529413978494624,210.36398216385751,NA,-0.34234749163970996,-0.1772403605797507
M01,2001-11-01,7.658537997680556,NA,NA,7.370504166666667,216.982585529125,NA,-0.28068648932262563,-0.11912570081798131
M01,2001-12-01,4.721304234789516,NA,NA,7.9365362903225805,229.88352916228496,NA,-0.34636442630328057,0.05301783461752055
M01,2002-01-01,-0.3771692235840708,NA,NA,9.077185840707964,283.71646016106195,NA,-0.8878395429860296,0.26470813271464366
M01,2002-06-01,11.57123710989011,NA,NA,4.9727284144427,188.626579277865,NA,-0.16743059396208992,-0.2208697162305547
M01,2002-07-01,16.607009190860214,NA,NA,4.991896505376344,198.32461559139784,NA,-0.262485383498454,-0.30194883149024465
M01,2002-08-01,18.68939431451613,NA,NA,5.161356182795699,182.91013978494624,NA,-0.17791749403372956,-0.1910994061778755
M01,2002-09-01,16.218897283333334,NA,NA,5.999458333333333,186.95084444444444,NA,-0.1644400271827937,-0.22157655146996194
M01,2002-10-01,10.473736350268817,NA,NA,7.773502688172043,199.6135430107527,NA,-0.02455682685032275,0.17727729861389305
M01,2002-11-01,6.277395207569445,NA,NA,9.040479166666668,202.3007875,NA,-0.22082847611747247,0.005038124178144302
M01,2002-12-01,2.200519296644684,NA,NA,9.515450874831764,227.34030779569892,NA,-0.3934482328993979,0.19241811497467384
M01,2003-01-01,-3.179544449081921,NA,NA,8.301338521400778,203.41393190661478,NA,-0.27943291524984204,0.28390851502557585
M01,2003-02-01,-1.2299928458774412,NA,NA,NA,NA,NA,NA,NA
M01,2003-07-01,15.477001828153565,NA,5.172261425959781,4.378294332723949,190.05784808043876,1935.3349852285191,-0.18554920090363408,-0.612315122518095
M01,2003-08-01,17.28309139784946,NA,5.045029569892473,4.245676075268817,204.93473091397848,2083.3886301155912,-0.21381737368501857,-0.3295876189606116
M01,2003-09-01,16.229097222222222,NA,5.460958333333333,4.513425,178.68588194444445,2581.1284594444446,-0.005484672052564121,-0.22720458411051314
M01,2003-10-01,11.349951153324287,NA,8.182834464043419,6.651367706919945,205.92310542740842,2717.802525291723,-0.24607950564520775,-0.07238417093516802
M01,2003-11-01,7.605188888888889,NA,9.464259722222222,7.6735291666666665,188.64182916666667,2759.242506986111,-0.08324061379232348,0.07136344164713096
M01,2003-12-01,3.451768817204301,NA,12.10868817204301,9.7675,219.57278360215054,2637.9522233064517,-0.30549504636366903,0.13322465015717197
M01,2004-01-01,-4.158586021505377,NA,10.069153225806451,7.9673736559139785,278.4002567204301,2817.803911391129,-0.4610262362706249,0.5035333347630943
M01,2004-02-01,-0.2547169540229885,NA,8.585977011494252,6.068711206896552,221.91859051724137,2754.7214388793104,-0.27149919001501027,0.2948821260134245
M01,2004-03-01,0.6270443548387097,NA,2.7982594086021506,0.844366935483871,194.9285376344086,2714.8160803091396,0.009425727508742255,0.21771327084546513
M01,2004-04-01,3.3015555555555554,NA,0.20124305555555555,0.026379166666666665,249.2112875,2445.1452207763887,-0.1222937849305238,0.5637649114378283
M01,2004-05-01,6.95377688172043,NA,0.008798387096774194,7.28494623655914e-4,322.3917983870968,2245.434387768817,-0.2676420489286781,0.8058577531704842
M01,2004-06-01,7.58698947368421,NA,0,0,342.67,2513.037656210526,-0.2978747448770477,0.9546049635134073
M01,2004-07-01,15.733218806509946,NA,5.3116383363471975,4.433386980108499,180.26440325497288,1895.1443850831827,-0.05082697729094616,-0.35568264009344486
M01,2004-08-01,17.494059139784945,NA,6.498711021505376,5.4893051075268815,213.42854435483872,2345.098563206989,-0.4064411945727704,-0.3243986856720143
M01,2004-09-01,15.350694444444445,NA,7.181968055555555,5.9984375,188.19301666666667,2682.4907919166667,-0.20832925030547575,-0.028173810317197744
M01,2004-10-01,11.098530446549391,1014.4472961136713,8.23359485094851,6.7862330623306235,155.28579268292683,2727.6595,0.0323322278369453,0.14038606672311035
M01,2004-11-01,6.425898611111111,1016.9955229861112,10.197294444444445,8.265193055555555,215.98369861111112,2752.644008097222,-0.23879167489586345,0.21251531026621193
M01,2004-12-01,2.6732585499316004,1013.4667351436389,10.489666210670315,8.343102599179206,202.7745677154583,2699.1167414363886,-0.15632149602425424,0.12750850582339082
M01,2005-01-01,-1.8865470430107527,1013.2075571908603,7.846684139784946,6.225229838709677,222.07696505376344,2356.8772335752687,-0.07105467752468504,0.4062988927652091
M01,2005-02-01,-0.6118943452380953,1016.5414459375,8.76088988095238,7.042577380952381,176.38715773809523,2772.650068080357,-6.374104915842527e-4,0.30676981334334613
M01,2005-03-01,0.9163844086021505,1003.9078048790323,10.020491935483872,8.195041666666667,212.72843279569892,2745.5234348763443,-0.32775823089775985,0.17484676140121927
M01,2005-04-01,4.914322222222222,1013.277181625,7.3509166666666665,6.080523611111111,191.22473472222222,2497.3896087291664,-0.10118523047015389,-0.19879320580822415
M01,2005-05-01,6.509175913396482,1013.2532392422193,7.174882273342354,5.889446549391069,155.47924221921517,2172.0699178078485,0.09421567164449948,0.1236909440187336
