buoy,date,depth,temperature,salinity,sigma_t
B01,2001-07-01,20,6.796486109039548,31.73831158945386,24.875271642184558
B01,2001-07-01,50,5.627132910734463,31.886666299435028,25.13732392843691
B01,2001-08-01,20,8.752453168010753,31.987669798387095,24.793738212365593
B01,2001-08-01,50,6.829376427284946,32.02938228629032,25.099854512096773
B01,2001-09-01,20,10.07888730625,32.19973664444444,24.745128197222222
B01,2001-09-01,50,8.136062990694445,32.309280154166665,25.139427138888887
B01,2001-10-01,20,10.807586723790322,32.271662139784944,24.67516455376344
B01,2001-10-01,50,8.73605219610215,32.547128653225805,25.23758881451613
B01,2001-11-01,20,9.043338189722222,32.47266192777778,25.129158566666668
B01,2001-11-01,50,8.315708041527778,32.69463006388889,25.416032495833335
B01,2001-12-01,20,7.8047709741935485,32.593527393817205,25.41123514516129
B01,2001-12-01,50,7.822063702688172,32.7287143561828,25.515502721774194
B01,2002-01-01,20,5.886834825537634,32.78790865456989,25.818272751344086
B01,2002-01-01,50,6.133365420026882,32.87691860215054,25.85819789919355
B01,2002-02-01,20,4.788807486160715,32.915289644345236,26.0455440625
B01,2002-02-01,50,4.948156291517857,32.97533945238095,26.075789720238095
B01,2002-03-01,20,4.604736321244926,32.770072778078486,25.95023500270636
B01,2002-03-01,50,4.730932814864865,32.879736705405406,26.023992606756757
B01,2002-04-01,20,5.157872638888889,32.40004732212885,25.598566528011204
B01,2002-04-01,50,4.8230365640277775,32.648244006993004,25.83286135104895
B01,2002-05-01,20,5.596626478494624,32.209225677419354,25.395644284946236
B01,2002-05-01,50,5.3050786455645165,32.3272366922043,25.52275835483871
B01,2002-06-01,20,6.754948472222222,32.080520290277775,25.14527769861111
B01,2002-06-01,50,5.90427054375,32.215280925,25.363082875
B01,2002-07-01,20,7.6318237903225805,32.288083309139786,25.19597798924731
B01,2002-07-01,50,7.135262682526882,32.34712014919355,25.309885532258065
B01,2002-08-01,20,9.231011693548387,32.420705819892476,25.06166771908602
B01,2002-08-01,50,8.779757478629032,32.48101933870968,25.179159174731183
B01,2002-09-01,20,10.627099722222223,32.55096115277778,24.933296030555557
B01,2002-09-01,50,9.798605354861111,32.64470925972222,25.146655375
B01,2002-10-01,20,12.192109176788124,32.50139035945946,24.611503343243243
B01,2002-10-01,50,10.79231541891892,32.80155572972973,25.099106214864864
B01,2002-11-01,20,9.836673333333334,32.749043659722226,25.22049461388889
B01,2002-11-01,50,9.724503055555555,33.001966851388886,25.437403819444445
B01,2002-12-01,20,7.492321774193548,33.14410512634409,25.887127838709677
B01,2002-12-01,50,7.647147446236559,33.19395232258064,25.90399739247312
B01,2003-01-01,20,5.077688709677419,33.12352179301075,26.173397326612903
B01,2003-01-01,50,5.143289112903226,33.142277822580645,26.179816392473118
B01,2003-02-01,20,3.28209375,33.10906070684524,26.348787394345237
B01,2003-02-01,50,3.251895089285714,33.11452398363095,26.356220144345237
B01,2003-03-01,20,3.0448706989247314,33.01526938575269,26.296011670698924
B01,2003-03-01,50,3.021022311827957,33.06798830241935,26.340405889784947
B01,2003-04-01,20,3.305661087866109,32.44284449093445,25.816456073919106
B01,2003-04-01,50,3.161831058495822,32.73300151949861,26.061086330083565
B01,2003-05-01,20,4.618126075268817,32.12731818548387,25.432970326612903
B01,2003-05-01,50,4.0263844086021505,32.245969002699056,25.586836418353577
B01,2003-06-01,20,6.536829305555556,31.731200577777777,24.903834475
B01,2003-06-01,50,5.748066666666666,32.04092394861111,25.245082186111112
B01,2003-07-01,20,7.247566935483871,31.88916419623656,24.93460654032258
B01,2003-07-01,50,5.587438596491228,32.09608460188934,25.307524545209176
B01,2003-08-01,20,8.812138844086022,32.21992592607527,24.967690904569892
B01,2003-08-01,50,7.121280913978494,32.306347095430105,25.2780084516129
B01,2003-09-01,20,11.43089611111111,32.264402177777775,24.563518577777778
B01,2003-09-01,50,8.775305555555555,32.48856023055556,25.1861076875
B01,2003-10-01,20,10.337086486486486,32.34720037027027,24.822317524324323
B01,2003-10-01,50,8.626175675675675,32.75488809189189,25.417641594594595
B01,2003-11-01,20,8.529110138888889,32.44608756111111,25.187511381944443
B01,2003-11-01,50,7.683731944444444,32.877780370833335,25.650842891666667
B01,2003-12-01,20,6.2322157258064514,32.66802162231183,25.68009772983871
B01,2003-12-01,50,6.625504032258065,32.93587937634408,25.842098508064517
B01,2004-01-01,20,4.8426706989247315,33.01459990725807,26.114543708333333
B01,2004-01-01,50,5.46364247311828,33.20144821236559,26.185813694892474
B01,2004-02-01,20,3.1172441091954024,33.235105158045975,26.464992188218392
B01,2004-02-01,50,3.1390948275862067,33.2388309841954,26.465935995689655
B01,2004-03-01,20,2.5370958164642374,32.88082407557355,26.22935375573549
B01,2004-03-01,50,2.8483986486486486,33.044406906756755,26.335098004054053
B01,2004-04-01,20,3.379771388888889,32.338037766666666,25.726679980555556
B01,2004-04-01,50,3.025638888888889,32.52360551527778,25.906372197222222
B01,2004-05-01,20,4.225027284946236,32.114673850806454,25.463582584677418
B01,2004-05-01,50,3.1869663526244953,32.29144318573351,25.706547842530284
B01,2004-06-01,20,5.924986666666666,31.982968920833333,25.176109248611112
B01,2004-06-01,50,4.4763222222222225,32.095772134722225,25.42858948611111
B01,2004-07-01,20,7.670663440860215,31.887592860215054,24.870310682795697
B01,2004-07-01,50,5.514305107526882,32.00708894354839,25.24382272983871
B01,2004-08-01,20,8.598590725806451,32.087566932795696,24.896993380376344
B01,2004-08-01,50,6.632288978494624,32.13458377016129,25.209194815860215
B01,2004-09-01,20,11.210602777777778,31.91821985972222,24.322806838888887
